Report Period,Business Unit,Department Name,Procurement Transaction ID,Campaign Name,Creation Date,Contract Start,Contract End,Sub or Prime Contractor,FI$Cal Supplier Name,FI$Cal Supplier ID,Supplier Paid,Contract Amount Reported,DIGITAL : LATINX,IN-PERSON MEETINGS : AFRICAN AMERICAN,IN-PERSON MEETINGS : ASIAN-PACIFIC ISLANDER,IN-PERSON MEETINGS : GENERAL PUBLIC,IN-PERSON MEETINGS : INDIGENOUS,IN-PERSON MEETINGS : LATINX,IN-PERSON MEETINGS : LGBTQIA,INTERNET : AFRICAN AMERICAN,INTERNET : ASIAN-PACIFIC ISLANDER,INTERNET : DEAF AND DISABLED COMMUNITY,INTERNET : GENERAL PUBLIC,INTERNET : INDIGENOUS,INTERNET : LATINX,INTERNET : LGBTQIA,INTERNET : MIDDLE EASTERN,INTERNET : NON-SPECIFIED COMMUNITY TYPE,NEWSPAPER : AFRICAN AMERICAN,NEWSPAPER : ASIAN-PACIFIC ISLANDER,NEWSPAPER : DEAF AND DISABLED COMMUNITY,NEWSPAPER : GENERAL PUBLIC,NEWSPAPER : INDIGENOUS,NEWSPAPER : LATINX,NEWSPAPER : LGBTQIA,NEWSPAPER : MIDDLE EASTERN,NON-SPECIFIED MEDIA TYPE : AFRICAN AMERICAN,NON-SPECIFIED MEDIA TYPE : DEAF AND DISABLED COMMUNITY,PRINT : AFRICAN AMERICAN,PRINT : ASIAN-PACIFIC ISLANDER,PRINT : DEAF AND DISABLED COMMUNITY,PRINT : GENERAL PUBLIC,PRINT : LATINX,PRINT : LGBTQIA,PRINT : MIDDLE EASTERN,RADIO : AFRICAN AMERICAN,RADIO : ASIAN-PACIFIC ISLANDER,RADIO : DEAF AND DISABLED COMMUNITY,RADIO : GENERAL PUBLIC,RADIO : INDIGENOUS,RADIO : LATINX,RADIO : LGBTQIA,RADIO : MIDDLE EASTERN,SOCIAL MEDIA : LATINX,SPONSORSHIP : DEAF AND DISABLED COMMUNITY,SPONSORSHIP : LATINX,TELEVISION : AFRICAN AMERICAN,TELEVISION : ASIAN-PACIFIC ISLANDER,TELEVISION : DEAF AND DISABLED COMMUNITY,TELEVISION : GENERAL PUBLIC,TELEVISION : INDIGENOUS,TELEVISION : LATINX
02Jul2023,0981,CALIFORNIA ABLE ACT BOARD,0000000133,Autism Tree Project Foundations Sp,,,6/30/2022,PRIME,AUTISM TREE PROJECT INC,194078,"$4,999.00","$4,999.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,999.00",,,,,,,
02Jul2023,0981,CALIFORNIA ABLE ACT BOARD,0000000137,ARC Conference Sponsorship,,,4/28/2022,PRIME,ARC OF CALIFORNIA,18879,"$2,500.00","$2,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,500.00",,,,,,,
02Jul2023,0981,CALIFORNIA ABLE ACT BOARD,0000000139,Fiesta Educativa Sponsorship,,,4/27/2022,PRIME,FIESTA EDUCATIVA INC,118982,$100.00,$100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$100.00,,,,,,,
02Jul2023,0981,CALIFORNIA ABLE ACT BOARD,0000000141,Mom Autism Money Sponsorship,,,4/5/2022,PRIME,MOM AUTISM MONEY,197423,$100.00,$100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$100.00,,,,,,,
02Jul2023,0981,CALIFORNIA ABLE ACT BOARD,0000000146,Supported Life Self-Advocacy Confe,,,5/28/2022,PRIME,SUPPORTED LIFE INSTITUTE,51809,$450.00,$450.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$450.00,,,,,,,
02Jul2023,0981,CALIFORNIA ABLE ACT BOARD,0000000154,Options for All Gala Sponsorship,,,8/27/2022,PRIME,OPTIONS FOR ALL INC,94369,"$4,999.00","$4,999.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,999.00",,,,,,,
02Jul2023,0981,CALIFORNIA ABLE ACT BOARD,0000000155,Supported Life Conference,,,10/14/2022,PRIME,SUPPORTED LIFE INSTITUTE,51809,$800.00,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$800.00,,,,,,,
02Jul2023,0981,CALIFORNIA ABLE ACT BOARD,0000000167,Disability Rights CA Gala Sponsorsh,,,2/15/2023,PRIME,DISABILITY RIGHTS CALIFORNIA,18920,"$4,999.00","$4,999.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,999.00",,,,,,,
02Jul2023,0981,CALIFORNIA ABLE ACT BOARD,0000000171,Abilities Expo,,,3/12/2023,PRIME,ABILITIES EXPO,61188,"$1,700.00","$1,700.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,700.00",,,,,,,
02Jul2023,0981,CALIFORNIA ABLE ACT BOARD,0000000176,CalTASH Sponsorship,,,3/5/2023,PRIME,CAL-TASH,214372,$250.00,$250.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$250.00,,,,,,,
